obs_time_tcb,centroid_pos_al,centroid_pos_error_al,parallax_factor_al,scan_pos_angle,field_of_view
2458415.38348586,1.4277559288792219,0.03188367,0.61379755,-0.69904546,1
2458437.70227261,-84.89637753408479,0.03225049,-0.70302647,0.46776243,2
2458469.6805614,53.97931977192752,0.03281529,0.67095923,-1.51263681,2
2458509.58672232,-23.360356481450115,0.02849588,-0.4392482,-0.86863282,1
2458509.66073912,-22.87659526929416,0.03460341,-0.43662211,-0.87360918,2
2458509.83691345,-21.903766842353274,0.03469764,-0.4303003,-0.88553773,1
2458528.84352382,81.98951258427766,0.03082639,0.33718032,-2.27536827,1
2458528.91756374,82.13127780855987,0.03303566,0.33959237,-2.28048254,2
2458529.09370864,82.6249294746014,0.02900231,0.34535259,-2.29270225,1
2458637.81989056,60.12053221880031,0.02974639,-0.71218723,-2.93768876,1
2458677.28364847,-49.404182751626045,0.03303343,0.55749923,1.34003032,1
2458677.3576028,-49.32914587159069,0.03661484,0.55442041,1.34285498,2
2458694.88003792,-4.045614854245791,0.03990719,-0.44531718,2.24474625,1
2458694.95407431,-4.45973533750432,0.04548822,-0.44283491,2.2400552,2
2458695.13017878,-5.299469011492924,0.03115112,-0.43683541,2.22878585,1
2458695.20416365,-5.740417869403821,0.04351796,-0.43432269,2.22406816,2
2458715.14896668,-84.00745068765379,0.0339846,0.3308875,0.8437975499999999,1
2458715.39916556,-84.22139900113294,0.03085873,0.33877259,0.82726006,1
2458766.47822987,-116.43874978875876,0.03403165,-0.54622185,0.89022274,1
2458766.55225248,-116.49257739039392,0.03535511,-0.54446369,0.8862428,2
2458793.76582572,14.450621535551242,0.03574279,0.67033768,-0.93985502,1
2458823.06545183,-125.98302495714358,0.02717209,-0.70319736,0.19319698,1
2458823.13942873,-125.98672994277842,0.03628012,-0.70363635,0.19288719,2
2458860.47698685,100.72331429183367,0.03649466,0.53544825,-1.80587751,2
