obs_time_tcb,centroid_pos_al,centroid_pos_error_al,parallax_factor_al,scan_pos_angle,field_of_view
2457019.8423457,-49.62538460013458,0.0306923,0.61664182,-1.64096539,1
2457019.91633716,-49.897544538931655,0.0432009,0.61797976,-1.6442603,2
2457064.82438013,-44.81139412082946,0.03345146,-0.34258926,-1.31583193,1
2457064.89843137,-45.33884279123139,0.03909604,-0.34002507,-1.32103143,2
2457082.33220718,-97.32676292099728,0.03064506,0.32751393,-2.5970995,1
2457082.40620593,-97.29575447342268,0.03700923,0.33001986,-2.60226786,2
2457082.65634342,-96.9433195707268,0.0374511,0.33848509,-2.6197614,2
2457130.06878979,-118.82092850672369,0.03413509,-0.6068033,-2.37645314,1
2457160.38570655,36.54454716237177,0.041607,0.71361375,1.99570078,2
2457229.83580766,86.83708881535313,0.03593787,0.46514097,1.19608918,2
2457242.59055148,-0.5946925199910638,0.03525712,-0.38767365,2.00793503,2
2457242.76675735,-1.7229084601155407,0.03400579,-0.39648452,2.01685094,1
2457288.20150357,83.4366311631855,0.02979621,0.42218703,0.03013449,1
2457302.27871143,58.67797961677289,0.0343293,-0.51848412,0.92416786,2
2457340.91057853,16.611442340540442,0.0288147,0.69660264,-1.07204702,1
2457340.98455346,16.49161961172134,0.04355725,0.69598353,-1.0721075,2
2457369.22102271,41.823743071812686,0.04167669,-0.68112785,0.08235603,2
2457396.64016739,-30.23624179307687,0.02589873,0.55640697,-1.7779312,1
2457445.12453319,-48.8515220546894,0.03228931,-0.32230005,-1.67657487,1
2457463.95667776,-40.42449657167099,0.04010944,0.40668812,-3.03890698,2
2457539.85396288,38.818022828611966,0.02963987,0.71617109,1.80906223,1
2457539.92794896,38.791859001317455,0.04259947,0.71572948,1.80866467,2
2457564.60101716,-55.74121447518052,0.02966404,-0.6531468,2.98912913,1
2457607.8748539,49.77860361325601,0.03840018,0.39373675,1.01737202,2
2457608.12501942,49.064479018013,0.04004259,0.37976038,1.03113946,2
2457618.80578642,5.032312700553678,0.03565857,-0.34473988,1.73370454,1
2457680.5671702,12.807868002982024,0.03532307,-0.59835249,0.77469725,2
2457680.74332966,12.58549166985393,0.02864251,-0.60468751,0.78026552,1
2457748.68907195,-2.1275563712089762,0.02638738,-0.6253249,-0.16970462999999997,1
2457748.76308538,-2.1096904286977574,0.03824405,-0.62342542,-0.17328492,2
2457773.43831563,-1.2233157236992103,0.03484081,0.47872531,-1.90944272,1
2457773.5123153,-1.173592412802611,0.03678616,0.48072374,-1.91390873,2
2457823.80577364,-23.00926413556295,0.03262865,-0.37145764,-1.91633961,2
2457845.56281629,8.81288296718879,0.03307357,0.51374233,2.82759258,2
2457884.04782533,-28.815845414886827,0.03647445,-0.7021445,-2.63952612,2
2457940.77681694,-18.279947833265506,0.03548552,-0.5911026,2.77648025,2
2457940.95296604,-18.43193568816977,0.03066153,-0.59592235,2.78098375,1
2457985.39679655,4.867560911427214,0.02852996,0.34457743,0.8108101,1
2457985.64695261,4.441736573622801,0.02775802,0.33013603,0.82526061,1
2457985.72095005,4.294284314640415,0.03585369,0.3257829,0.8296141,2
2458039.59071002,10.987626901640791,0.02884073,0.55490386,-0.47962665,1
2458059.16314796,-36.33030013836388,0.0445331,-0.6661818,0.62828701,2
2458093.30976176,29.343398025867472,0.03083422,0.70080721,-1.3763965,1
2458093.3837673,29.299526179569305,0.03260441,0.70123708,-1.37812049,2
2458128.79027356,-28.918781480915335,0.03030254,-0.53918171,-0.48476858,1
2458150.86832572,36.467678353828866,0.03481143,0.40390098,-2.07541169,2
2458201.78157234,15.822736245032658,0.02992441,-0.44443598,-2.10091256,1
2458201.85561761,15.943452291665354,0.04059462,-0.44236851,-2.10544066,2
2458226.35934282,31.77084293279657,0.03610417,0.60751444,2.4942552,2
2458261.02217407,17.39905899581619,0.0324981,-0.71739376,-2.78395279,1
2458316.99614742,2.3078944836346764,0.03128432,-0.52529991,2.54503387,1
2458362.43527139,-43.450556671737836,0.0258345,0.3234213,0.57937483,1
2458372.51359159,-53.98840648752833,0.03591087,-0.3644802,1.25333414,2
