,gaia_source_id,mass_interp
0,5479559378348931200,0.4160697798482565
1,5481069145252396928,0.3644776846110203
2,5481478983915584256,0.560486469058959
3,5481618557469377408,0.5264924173999096
4,5482185145257567232,0.5252949961331507
5,5482595954586693376,0.410648262985872
6,5484066448309985152,0.23147034777759354
7,5484571119849822464,0.5396114955747411
8,5484571119849822464,0.5396114955747411
9,6710367263011848576,0.27987711227296563
10,6711355620886107392,0.45786304332146655
11,4664063664304057216,0.1754474928826814
12,4664824659484139008,0.7098644997345429
13,4664969524438163584,0.5861068776399674
14,4665366619931917824,0.3816524325033661
15,506712892903947008,0.43274039081590343
16,3116065985196889216,0.6823549591539034
17,4514069284496130432,0.6505862016164793
18,4052121633175747200,0.18757646973831113
19,1856509925925738240,0.3176513253467739
20,1856656298413618560,0.29666468336774704
21,5341060014664247040,0.47644277033597715
22,2172353059135725056,0.7582132252243039
23,2172375427325782016,0.43280105550619247
24,5776577944783729408,0.5696080929286939
25,5776716483248901760,0.12083871541801103
26,5776782453946799872,0.39723971443272843
27,5778248652702908032,0.5540413990945846
28,5778681276170063232,0.23005034719230616
29,3673818650227891840,0.4757097114864757
30,3673821669589275520,0.6013425825200376
31,3675105693014139264,0.5216781204382019
32,3675151911155986304,0.1678387507089904
33,3676465342219654784,0.47747307580977316
34,3676667240041973376,0.4455347439391119
35,3676788912171227520,0.3872432774571812
36,3677040219297673344,0.6028358860884386
37,3677448412989388032,0.37486729360942506
38,3677887221207985664,0.40469524908479004
39,3678539369042320384,0.3770260725175448
40,3679162890919335424,0.2442493192813034
41,3679498349340289664,0.35845338439611174
42,3679728039895377152,0.43765735298682906
43,3679826381762574336,0.5902796132672058
44,3680458326070745728,0.27126033708711295
45,3681462558143876352,0.18087771911027573
46,3682279598362274176,0.45651942800752765
47,3685352252325650816,0.3183615590588528
48,3685515151845073920,0.5541596676291797
49,3687116143854288384,0.7137345801981244
50,3687880544953777792,0.4281288024794438
51,3688069003823300992,0.6995521025921219
52,3688598045010621184,0.31331157885188843
53,3688986413133400960,0.4080776166062785
54,3689440958112195328,0.4472313982593342
55,3689602277083844480,0.6264672228080492
56,3690276449510206080,0.5493870130012285
57,3690900216200546688,0.21639939493703356
58,3691162857744956800,0.5484633856332862
59,3691484297393014400,0.5269854383343894
60,3692003885356769536,0.3703806029318648
61,3693079929284615424,0.6907435589141389
62,3693608828736537344,0.37497800314793406
63,3693639477623203968,0.3774613868899465
64,3693956927246491904,0.6941766702350943
65,6754249936009771008,0.7395984360399585
66,6754878105045504640,0.46224941770822736
67,6754962350825982336,0.6034189973639816
68,6755215071000706688,0.6048495416295724
69,255781696371427200,0.6036983106424951
70,256487136159035136,0.594830617097339
71,256496482008237824,0.20111973536152655
72,5942777301034031104,0.3252298525397431
73,4740038543384362624,0.5482634615532483
74,4740066855808952064,0.44367791209464386
75,4740072078489198080,0.42509765556167306
76,4741806214484529792,0.6401910770495278
77,4742876485975007104,0.5965841211624603
78,4742930946160345472,0.5179189060529353
79,4743505475345791360,0.46027028960926786
80,4744233730000311552,0.5164571541472465
81,4745570667420487936,0.24313791504454182
82,4745775520180372864,0.38600850299545375
83,4745962574596236416,0.7548945979259238
84,4747064422686164608,0.2530808987903568
85,4748059579492775424,0.3951261504120834
86,4748832368664438272,0.2258426511334002
87,4748852159873679744,0.37711222337544203
88,4748882602601930240,0.49299396669252515
89,4748985269499822848,0.6898393835787301
90,4749000765741778176,0.22324527836487054
91,4749755546114487552,0.2857676276161825
92,4750198374422561152,0.40923084911716495
93,4751141858478291200,0.5066990313729971
94,4751824620839601792,0.4736612218372943
95,4755135868826209536,0.38785053021119414
96,2951303721098540672,0.22563204774478107
97,2951926147758762624,0.413218881877255
98,2952088222645347968,0.42689098484541965
99,2952167284402761088,0.3963994632271655
100,2953084277101751680,0.7117957773362835
101,476185399229567360,0.27168253850704993
102,476247968312726144,0.4185341525220433
103,476809509515283712,0.19707346956071642
104,477422452887913984,0.5192516803151547
105,477583905001558784,0.47961850748600465
106,478001861155777408,0.5910470308057005
107,1828066281701093760,1.5256410418658084
108,3346092991775816448,1.8675233424347275
109,3408408740991353344,1.184126712758649
110,3411224624628963584,0.8398126646175857
111,512855383330988416,0.8505806941510428
112,513454170486819712,0.8180727101045729
113,513815222621213952,0.9463201320116761
114,6141656212256579072,0.9709087948460076
115,6142347839429985536,1.29494612082434
116,6143584888794442880,0.8813243185926904
117,5195024662639152256,0.8894408115732061
118,5195912625655712512,1.9575150166596231
119,5195968563310843008,0.82985154379822
120,5198649172658958592,0.9186680430651224
121,5205281667315986304,0.8830577141551458
122,5207074936419439616,1.1583961011881523
123,1807953155988203264,0.881613381072637
124,6054653609544372736,1.780050511442821
125,2176280720836021504,1.0628854949502544
126,5346294480275028608,2.403962096040745
127,6017019078841200896,1.0501866245776992
128,3309540170088830464,0.9748365124593535
129,3310181601980691328,1.1841651414890517
130,3311024789960504576,1.3926786869503749
131,3312628358950130176,1.8139947032587824
132,3312741260753958656,1.0424686369545084
133,3313743710417140864,0.9481078818134602
134,3314650463912972800,1.3610349034185647
135,4891183252894426624,1.104013086926564
136,4892030598402997376,0.8168584534904526
137,4892329974803162752,0.8546687914493791
138,4899237897122360192,0.9686138947967714
139,4899488551413976448,1.339957129851093
140,4899921690274938880,0.9734985640867858
141,4900108950849461248,1.043748490964829
142,4901026115345169024,0.8870110256965734
143,4905755866474975616,0.8598347117818077
144,5606373166853859072,1.4827940682449492
145,5606442401727210496,1.197788605635759
146,5607190344506642432,1.2319374823421543
147,6245004257955521024,1.1685557964926085
148,3038097244849101184,1.2147409266428928
149,3039489875107095424,0.9478636427730092
150,287994363406100224,1.011638319852969
151,288149390248487936,0.868292363229805
152,293097162509279104,0.891471305205395
153,293726319386556160,0.8063859556948141
154,294420940149563008,1.1098954692387297
155,299131763358977024,1.3278862180538566
156,299178458243362432,1.1061258721615705
157,302447890428345088,0.849829416592013
158,302634326368842752,1.3691624882452036
159,2018799079173639680,1.2630138113221865
160,1737246105807938944,1.1683430274724298
161,1738204978729722368,1.5150805703345607
162,1738278375427380480,1.5299954132021498
