obs_time_tcb,centroid_pos_al,centroid_pos_error_al,parallax_factor_al,scan_pos_angle,field_of_view
2456999.69754734,65.64244675800877,0.03825632,-0.634377,-0.71460428,2
2457029.1159925,-40.281306430528105,0.02500121,0.65613562,-2.74182546,1
2457061.35189472,9.531945677832372,0.02280685,-0.6894958,-1.78065455,1
2457094.83055565,-56.55731238750666,0.02029039,0.70587754,2.3787615,1
2457120.07434776,-52.49930500275323,0.03302407,-0.69141394,-2.77280062,1
2457158.53559093,-6.6960164780875635,0.02124012,0.65367788,1.33898853,1
2457158.60964043,-6.737599628234658,0.03161357,0.65193343,1.34008375,2
2457219.74255783,51.261964912646114,0.02551474,0.68649751,0.26117518,1
2457244.23759296,-23.60487451189801,0.02515986,-0.71312582,1.39178102,1
2457244.31159197,-23.543739803003568,0.02850537,-0.71390265,1.39162004,2
2457280.21030643,58.779406766594946,0.0208276,0.71817738,-0.74896619,1
2457280.28434364,58.75949484681165,0.03630868,0.71836847,-0.75047184,2
2457311.69659202,29.507814528422806,0.02758368,-0.68683225,0.27670097,1
2457342.26035884,19.686402785396087,0.03218815,0.64762759,-1.77054195,2
2457377.7439312,32.35317381549095,0.0328861,-0.63865483,-0.94777801,2
2457438.39800418,-5.69410863879708,0.01951827,-0.6978929,-1.974674,1
2457438.47197533,-5.742469627562231,0.03125284,-0.69762969,-1.97633036,2
2457472.94671712,-24.344976360121766,0.03704019,0.70018762,2.16959988,2
2457497.11832843,-36.667687030187125,0.0269845,-0.68002599,-2.98195074,1
2457597.03599815,31.874639128431294,0.02376048,0.69866377,0.05079625,1
2457597.10994785,31.936631294571185,0.03573137,0.69769955,0.05095519,2
2457690.49101548,9.92574753590314,0.02830905,-0.67034549,0.02893109,1
2457720.2327153,7.863746193359693,0.02224358,0.63843232,-1.99608756,1
2457720.30671365,7.848153357982792,0.04184753,0.6398595,-1.99948618,2
2457755.46652828,3.540285635512045,0.0292738,-0.65025991,-1.16671053,1
2457755.54053696,3.5545651386838633,0.03184303,-0.6490348,-1.16982859,2
2457786.02905821,-3.44368230336917,0.0376646,0.69219995,3.05176126,2
2457815.50114382,-9.349027576571036,0.02337183,-0.70234555,-2.17139408,1
2457851.04602862,2.861257270448104,0.03321809,0.69058698,1.9627541,2
2457874.2190051,-12.360758886416939,0.02252565,-0.66772056,3.08806842,1
2457935.67493502,-7.629722403551323,0.02788648,-0.67058015,2.01272247,1
2457974.38728329,5.239775802538684,0.0195798,0.70707023,-0.15495285,1
2457974.46127712,5.263880359731896,0.03187172,0.70637327,-0.15516096,2
2458001.45266373,-9.052386997466503,0.03245186,-0.7241925,0.97052918,2
2458001.62883623,-9.04150378718169,0.02279959,-0.72416055,0.96766107,1
2458035.10909612,1.5597892625054492,0.02438401,0.68931025,-1.13707019,1
2458035.18309144,1.6224097454675035,0.03375559,0.69006371,-1.13942893,2
2458069.09335864,-17.762090844646192,0.02685849,-0.65710378,-0.21858574,1
2458069.16728282,-17.788872504620898,0.03692847,-0.65569627,-0.22184559,2
2458098.58626622,10.078682017397014,0.02195649,0.64083433,-2.24243766,1
2458098.66026988,10.153352098546545,0.02600828,0.64228106,-2.24584348,2
2458133.07049817,-17.1347022899732,0.02250982,-0.66430509,-1.38002705,1
2458229.08784436,21.936853557668243,0.03154696,0.67943978,1.75670828,2
2458251.33569634,17.339478141577896,0.03005699,-0.65465742,2.87087319,2
2458313.71624779,11.65240658296799,0.02475012,-0.68016082,1.80377743,1
2458351.68168748,-25.05963821978185,0.02285638,0.7117964,-0.35587641,1
2458351.75568762,-25.108326055066353,0.02720248,0.7114042,-0.35651711,2
2458380.24523467,-20.86369278233434,0.03140976,-0.71970606,0.74931088,2
2458380.42141006,-20.97937718694127,0.0239644,-0.71873152,0.74514399,1
2458447.63904829,-48.385714239213115,0.02736875,-0.64642256,-0.46940854,1
2458476.88212683,26.607466626034647,0.02453358,0.64655417,-2.48762775,1
2458476.95610718,26.760009628451506,0.03139416,0.64799887,-2.49098729,2
2458510.44103228,-27.483864094203888,0.0321703,-0.68091214,-1.58342183,2
2458569.34151626,18.14921620437683,0.02772011,-0.69800985,-2.56783776,1
2458569.41546115,18.15973099813659,0.03224079,-0.69863671,-2.56817009,2
2458607.05559897,30.352523120081464,0.02654241,0.66883695,1.54979201,1
2458607.12957208,30.34479935382612,0.03028629,0.66722864,1.55071857,2
2458628.62801445,48.267591875131856,0.03141768,-0.64540046,2.65255671,2
2458628.80417353,48.1759386325068,0.02569514,-0.64948708,2.65513729,1
2458729.6622665,-55.264535211448134,0.03064826,0.71132219,-0.56315218,1
2458756.70525525,-42.747652190157204,0.02621266,-0.70948994,0.55928506,1
2458756.77926342,-42.83776373223051,0.02949558,-0.71010429,0.55897896,2
2458814.57004448,-77.91436133660316,0.02800312,-0.64422601,-0.50382576,1
2458852.16399707,52.23707874754595,0.02541461,0.65716505,-2.68158267,1
2458852.23806387,52.25284612910817,0.03541988,0.65567887,-2.6807676,2
