# t(year) ,phi(rad), x(mas), pllx_al, pllx_ac
2.014841016954969973e+03,-7.387454509735107422e-01,-1.079580722542003883e+02,5.669218352215533718e-01,7.070261099122365778e-01
2.014841016954969973e+03,-7.387454509735107422e-01,-1.084840719212776179e+02,5.669218352215533718e-01,7.070261099122365778e-01
2.014841016954969973e+03,-7.387454509735107422e-01,-1.079983287824237266e+02,5.669218352215533718e-01,7.070261099122365778e-01
2.014841016954969973e+03,-7.387454509735107422e-01,-1.084254561234413501e+02,5.669218352215533718e-01,7.070261099122365778e-01
2.014841016954969973e+03,-7.387454509735107422e-01,-1.082297993147963524e+02,5.669218352215533718e-01,7.070261099122365778e-01
2.014841016954969973e+03,-7.387454509735107422e-01,-1.080669511826169042e+02,5.669218352215533718e-01,7.070261099122365778e-01
2.014841016954969973e+03,-7.387454509735107422e-01,-1.083783911442430110e+02,5.669218352215533718e-01,7.070261099122365778e-01
2.014841016954969973e+03,-7.387454509735107422e-01,-1.077783387201348546e+02,5.669218352215533718e-01,7.070261099122365778e-01
2.014841016954969973e+03,-7.387454509735107422e-01,-1.082514893718954312e+02,5.669218352215533718e-01,7.070261099122365778e-01
2.014899185833733554e+03,4.470413327217102051e-01,-3.424340098256097349e+02,-6.857066414571311164e-01,7.061022051239784769e-01
2.014899185833733554e+03,4.470413327217102051e-01,-3.424964848025299489e+02,-6.857066414571311164e-01,7.061022051239784769e-01
2.014899185833733554e+03,4.470413327217102051e-01,-3.422594743475773384e+02,-6.857066414571311164e-01,7.061022051239784769e-01
2.014899185833733554e+03,4.470413327217102051e-01,-3.422126303797389824e+02,-6.857066414571311164e-01,7.061022051239784769e-01
2.014899185833733554e+03,4.470413327217102051e-01,-3.423033243431213464e+02,-6.857066414571311164e-01,7.061022051239784769e-01
2.014899185833733554e+03,4.470413327217102051e-01,-3.423604382676768978e+02,-6.857066414571311164e-01,7.061022051239784769e-01
2.014899185833733554e+03,4.470413327217102051e-01,-3.422425122391335890e+02,-6.857066414571311164e-01,7.061022051239784769e-01
2.014899185833733554e+03,4.470413327217102051e-01,-3.423805014146316807e+02,-6.857066414571311164e-01,7.061022051239784769e-01
2.014899185833733554e+03,4.470413327217102051e-01,-3.423288659171992094e+02,-6.857066414571311164e-01,7.061022051239784769e-01
2.014984483658108502e+03,-1.428573489189147949e+00,1.153336372111895969e+02,6.543986109242193594e-01,7.013433257101874263e-01
2.014984483658108502e+03,-1.428573489189147949e+00,1.151819860646217109e+02,6.543986109242193594e-01,7.013433257101874263e-01
2.014984483658108502e+03,-1.428573489189147949e+00,1.150614258873797269e+02,6.543986109242193594e-01,7.013433257101874263e-01
2.014984483658108502e+03,-1.428573489189147949e+00,1.153903366733780729e+02,6.543986109242193594e-01,7.013433257101874263e-01
2.014984483658108502e+03,-1.428573489189147949e+00,1.150196691331937018e+02,6.543986109242193594e-01,7.013433257101874263e-01
2.014984483658108502e+03,-1.428573489189147949e+00,1.152661302589822299e+02,6.543986109242193594e-01,7.013433257101874263e-01
2.014984483658108502e+03,-1.428573489189147949e+00,1.152018476716331321e+02,6.543986109242193594e-01,7.013433257101874263e-01
2.014984483658108502e+03,-1.428573489189147949e+00,1.156788003935726579e+02,6.543986109242193594e-01,7.013433257101874263e-01
2.014984483658108502e+03,-1.428573489189147949e+00,1.150287306210412623e+02,6.543986109242193594e-01,7.013433257101874263e-01
2.014984686263198910e+03,-1.431129574775695801e+00,1.160051555218448698e+02,6.553868790129010469e-01,7.000607279730718391e-01
2.014984686263198910e+03,-1.431129574775695801e+00,1.156083018433165535e+02,6.553868790129010469e-01,7.000607279730718391e-01
2.014984686263198910e+03,-1.431129574775695801e+00,1.160231636510801820e+02,6.553868790129010469e-01,7.000607279730718391e-01
2.014984686263198910e+03,-1.431129574775695801e+00,1.156677302427056304e+02,6.553868790129010469e-01,7.000607279730718391e-01
2.014984686263198910e+03,-1.431129574775695801e+00,1.159159152856671824e+02,6.553868790129010469e-01,7.000607279730718391e-01
2.014984686263198910e+03,-1.431129574775695801e+00,1.158993696723546947e+02,6.553868790129010469e-01,7.000607279730718391e-01
2.014984686263198910e+03,-1.431129574775695801e+00,1.160414116091006349e+02,6.553868790129010469e-01,7.000607279730718391e-01
2.014984686263198910e+03,-1.431129574775695801e+00,1.161348939594919045e+02,6.553868790129010469e-01,7.000607279730718391e-01
2.014984686263198910e+03,-1.431129574775695801e+00,1.163905107841809752e+02,6.553868790129010469e-01,7.000607279730718391e-01
2.015304089896062123e+03,-2.477743864059448242e+00,2.859566666751153434e+02,-4.772721969392461072e-01,7.139194500095265017e-01
2.015304089896062123e+03,-2.477743864059448242e+00,2.861674928711745451e+02,-4.772721969392461072e-01,7.139194500095265017e-01
2.015304089896062123e+03,-2.477743864059448242e+00,2.863328382414867406e+02,-4.772721969392461072e-01,7.139194500095265017e-01
2.015304089896062123e+03,-2.477743864059448242e+00,2.861751912708878081e+02,-4.772721969392461072e-01,7.139194500095265017e-01
2.015304089896062123e+03,-2.477743864059448242e+00,2.862588315990947763e+02,-4.772721969392461072e-01,7.139194500095265017e-01
2.015304089896062123e+03,-2.477743864059448242e+00,2.863022212137400970e+02,-4.772721969392461072e-01,7.139194500095265017e-01
2.015304089896062123e+03,-2.477743864059448242e+00,2.859032451196899274e+02,-4.772721969392461072e-01,7.139194500095265017e-01
2.015304089896062123e+03,-2.477743864059448242e+00,2.860862726021817366e+02,-4.772721969392461072e-01,7.139194500095265017e-01
2.015304089896062123e+03,-2.477743864059448242e+00,2.860562817476692317e+02,-4.772721969392461072e-01,7.139194500095265017e-01
2.015304292528019914e+03,-2.481866836547851562e+00,2.863813828562120989e+02,-4.753806922428807646e-01,7.157446675763001753e-01
2.015304292528019914e+03,-2.481866836547851562e+00,2.864337281583099752e+02,-4.753806922428807646e-01,7.157446675763001753e-01
2.015304292528019914e+03,-2.481866836547851562e+00,2.861919334550130998e+02,-4.753806922428807646e-01,7.157446675763001753e-01
2.015304292528019914e+03,-2.481866836547851562e+00,2.867281440744660017e+02,-4.753806922428807646e-01,7.157446675763001753e-01
2.015304292528019914e+03,-2.481866836547851562e+00,2.863558029262640048e+02,-4.753806922428807646e-01,7.157446675763001753e-01
2.015304292528019914e+03,-2.481866836547851562e+00,2.863846583153012944e+02,-4.753806922428807646e-01,7.157446675763001753e-01
2.015304292528019914e+03,-2.481866836547851562e+00,2.863942316399890160e+02,-4.753806922428807646e-01,7.157446675763001753e-01
2.015304292528019914e+03,-2.481866836547851562e+00,2.864532453858133749e+02,-4.753806922428807646e-01,7.157446675763001753e-01
2.015304292528019914e+03,-2.481866836547851562e+00,2.865029231641241267e+02,-4.753806922428807646e-01,7.157446675763001753e-01
2.015373909335478857e+03,2.140893220901489258e+00,4.535560395068621631e+01,6.716535661631095611e-01,7.258865152587822278e-01
2.015373909335478857e+03,2.140893220901489258e+00,4.489124433482756160e+01,6.716535661631095611e-01,7.258865152587822278e-01
2.015373909335478857e+03,2.140893220901489258e+00,4.494835792634616212e+01,6.716535661631095611e-01,7.258865152587822278e-01
2.015373909335478857e+03,2.140893220901489258e+00,4.500348183399974289e+01,6.716535661631095611e-01,7.258865152587822278e-01
2.015373909335478857e+03,2.140893220901489258e+00,4.530986220058213121e+01,6.716535661631095611e-01,7.258865152587822278e-01
2.015373909335478857e+03,2.140893220901489258e+00,4.516083220912427976e+01,6.716535661631095611e-01,7.258865152587822278e-01
2.015373909335478857e+03,2.140893220901489258e+00,4.471443701976082252e+01,6.716535661631095611e-01,7.258865152587822278e-01
2.015373909335478857e+03,2.140893220901489258e+00,4.489850799718666963e+01,6.716535661631095611e-01,7.258865152587822278e-01
2.015373909335478857e+03,2.140893220901489258e+00,4.495883432926288492e+01,6.716535661631095611e-01,7.258865152587822278e-01
2.015374111969073738e+03,2.138112545013427734e+00,4.408840314043611386e+01,6.732211762377725561e-01,7.247665426522440502e-01
2.015374111969073738e+03,2.138112545013427734e+00,4.409998105241137978e+01,6.732211762377725561e-01,7.247665426522440502e-01
2.015374111969073738e+03,2.138112545013427734e+00,4.391083479394629308e+01,6.732211762377725561e-01,7.247665426522440502e-01
2.015374111969073738e+03,2.138112545013427734e+00,4.421061371509907190e+01,6.732211762377725561e-01,7.247665426522440502e-01
2.015374111969073738e+03,2.138112545013427734e+00,4.436386645506837567e+01,6.732211762377725561e-01,7.247665426522440502e-01
2.015374111969073738e+03,2.138112545013427734e+00,4.410125841628084231e+01,6.732211762377725561e-01,7.247665426522440502e-01
2.015374111969073738e+03,2.138112545013427734e+00,4.479412847981735979e+01,6.732211762377725561e-01,7.247665426522440502e-01
2.015374111969073738e+03,2.138112545013427734e+00,4.394357848787404919e+01,6.732211762377725561e-01,7.247665426522440502e-01
2.015374111969073738e+03,2.138112545013427734e+00,4.440268618964950065e+01,6.732211762377725561e-01,7.247665426522440502e-01
2.015573638674774429e+03,1.525134444236755371e+00,-1.304500094677573543e+02,3.854016476335365704e-01,7.228172285572341815e-01
2.015573638674774429e+03,1.525134444236755371e+00,-1.302814549018085870e+02,3.854016476335365704e-01,7.228172285572341815e-01
2.015573638674774429e+03,1.525134444236755371e+00,-1.305088409749028244e+02,3.854016476335365704e-01,7.228172285572341815e-01
2.015573638674774429e+03,1.525134444236755371e+00,-1.307548798283244480e+02,3.854016476335365704e-01,7.228172285572341815e-01
2.015573638674774429e+03,1.525134444236755371e+00,-1.304675149026815291e+02,3.854016476335365704e-01,7.228172285572341815e-01
2.015573638674774429e+03,1.525134444236755371e+00,-1.302984076789973642e+02,3.854016476335365704e-01,7.228172285572341815e-01
2.015573638674774429e+03,1.525134444236755371e+00,-1.301579958785527822e+02,3.854016476335365704e-01,7.228172285572341815e-01
2.015573638674774429e+03,1.525134444236755371e+00,-1.303065529851083397e+02,3.854016476335365704e-01,7.228172285572341815e-01
2.015573638674774429e+03,1.525134444236755371e+00,-1.306457097010984398e+02,3.854016476335365704e-01,7.228172285572341815e-01
2.015573841307256089e+03,1.529510021209716797e+00,-1.295612092317691122e+02,3.811234715129960815e-01,7.245466816595996784e-01
2.015573841307256089e+03,1.529510021209716797e+00,-1.296155344479984706e+02,3.811234715129960815e-01,7.245466816595996784e-01
2.015573841307256089e+03,1.529510021209716797e+00,-1.294956039931874159e+02,3.811234715129960815e-01,7.245466816595996784e-01
2.015573841307256089e+03,1.529510021209716797e+00,-1.297239013816581803e+02,3.811234715129960815e-01,7.245466816595996784e-01
2.015573841307256089e+03,1.529510021209716797e+00,-1.293865981582695213e+02,3.811234715129960815e-01,7.245466816595996784e-01
2.015573841307256089e+03,1.529510021209716797e+00,-1.295208795705768523e+02,3.811234715129960815e-01,7.245466816595996784e-01
2.015573841307256089e+03,1.529510021209716797e+00,-1.294289920556956872e+02,3.811234715129960815e-01,7.245466816595996784e-01
2.015573841307256089e+03,1.529510021209716797e+00,-1.291473507811079173e+02,3.811234715129960815e-01,7.245466816595996784e-01
2.015573841307256089e+03,1.529510021209716797e+00,-1.296048988920662168e+02,3.811234715129960815e-01,7.245466816595996784e-01
2.015574323624218323e+03,1.540026068687438965e+00,-1.270659185465298435e+02,3.708457764780478949e-01,7.286013750681965551e-01
2.015574323624218323e+03,1.540026068687438965e+00,-1.274680050205423214e+02,3.708457764780478949e-01,7.286013750681965551e-01
2.015574323624218323e+03,1.540026068687438965e+00,-1.271851243985477140e+02,3.708457764780478949e-01,7.286013750681965551e-01
2.015574323624218323e+03,1.540026068687438965e+00,-1.272479628766089661e+02,3.708457764780478949e-01,7.286013750681965551e-01
2.015574323624218323e+03,1.540026068687438965e+00,-1.271589586029012651e+02,3.708457764780478949e-01,7.286013750681965551e-01
2.015574323624218323e+03,1.540026068687438965e+00,-1.267337036992126400e+02,3.708457764780478949e-01,7.286013750681965551e-01
2.015574323624218323e+03,1.540026068687438965e+00,-1.270768517437737017e+02,3.708457764780478949e-01,7.286013750681965551e-01
2.015574323624218323e+03,1.540026068687438965e+00,-1.268842463976150583e+02,3.708457764780478949e-01,7.286013750681965551e-01
2.015574323624218323e+03,1.540026068687438965e+00,-1.272968794803402091e+02,3.708457764780478949e-01,7.286013750681965551e-01
2.015574526252153646e+03,1.544485807418823242e+00,-1.257619728679712239e+02,3.664882541845556618e-01,7.302776613842022480e-01
2.015574526252153646e+03,1.544485807418823242e+00,-1.259435399149800787e+02,3.664882541845556618e-01,7.302776613842022480e-01
2.015574526252153646e+03,1.544485807418823242e+00,-1.258463781736266469e+02,3.664882541845556618e-01,7.302776613842022480e-01
2.015574526252153646e+03,1.544485807418823242e+00,-1.260595209934367062e+02,3.664882541845556618e-01,7.302776613842022480e-01
2.015574526252153646e+03,1.544485807418823242e+00,-1.258783920275723176e+02,3.664882541845556618e-01,7.302776613842022480e-01
2.015574526252153646e+03,1.544485807418823242e+00,-1.261692931450592710e+02,3.664882541845556618e-01,7.302776613842022480e-01
2.015574526252153646e+03,1.544485807418823242e+00,-1.258858500497166091e+02,3.664882541845556618e-01,7.302776613842022480e-01
2.015574526252153646e+03,1.544485807418823242e+00,-1.260887158037114091e+02,3.664882541845556618e-01,7.302776613842022480e-01
2.015574526252153646e+03,1.544485807418823242e+00,-1.257281949902967568e+02,3.664882541845556618e-01,7.302776613842022480e-01
2.015598977665772054e+03,2.146238327026367188e+00,2.707610831544600671e+01,-2.219750529409129092e-01,7.277567986815135503e-01
2.015598977665772054e+03,2.146238327026367188e+00,2.731888387771255111e+01,-2.219750529409129092e-01,7.277567986815135503e-01
2.015598977665772054e+03,2.146238327026367188e+00,2.700445318696664287e+01,-2.219750529409129092e-01,7.277567986815135503e-01
2.015598977665772054e+03,2.146238327026367188e+00,2.714998625762071072e+01,-2.219750529409129092e-01,7.277567986815135503e-01
2.015598977665772054e+03,2.146238327026367188e+00,2.686390650428074878e+01,-2.219750529409129092e-01,7.277567986815135503e-01
2.015598977665772054e+03,2.146238327026367188e+00,2.660789021780820462e+01,-2.219750529409129092e-01,7.277567986815135503e-01
2.015598977665772054e+03,2.146238327026367188e+00,2.684799417480569161e+01,-2.219750529409129092e-01,7.277567986815135503e-01
2.015598977665772054e+03,2.146238327026367188e+00,2.727618662999103094e+01,-2.219750529409129092e-01,7.277567986815135503e-01
2.015598977665772054e+03,2.146238327026367188e+00,2.717315409455103747e+01,-2.219750529409129092e-01,7.277567986815135503e-01
2.015599180292707842e+03,2.150796175003051758e+00,2.836513890512766523e+01,-2.261854245855902112e-01,7.259847459872256215e-01
2.015599180292707842e+03,2.150796175003051758e+00,2.808402619835152336e+01,-2.261854245855902112e-01,7.259847459872256215e-01
2.015599180292707842e+03,2.150796175003051758e+00,2.794023810726041290e+01,-2.261854245855902112e-01,7.259847459872256215e-01
2.015599180292707842e+03,2.150796175003051758e+00,2.808928148181391293e+01,-2.261854245855902112e-01,7.259847459872256215e-01
2.015599180292707842e+03,2.150796175003051758e+00,2.841405290480973633e+01,-2.261854245855902112e-01,7.259847459872256215e-01
2.015599180292707842e+03,2.150796175003051758e+00,2.845220371299907924e+01,-2.261854245855902112e-01,7.259847459872256215e-01
2.015599180292707842e+03,2.150796175003051758e+00,2.849033545541630019e+01,-2.261854245855902112e-01,7.259847459872256215e-01
2.015599180292707842e+03,2.150796175003051758e+00,2.826698391319271764e+01,-2.261854245855902112e-01,7.259847459872256215e-01
2.015599180292707842e+03,2.150796175003051758e+00,2.813056141906093899e+01,-2.261854245855902112e-01,7.259847459872256215e-01
2.015599662606965921e+03,2.161571025848388672e+00,3.105990212225152902e+01,-2.361121098236961258e-01,7.216861859012262403e-01
2.015599662606965921e+03,2.161571025848388672e+00,3.114283608037202100e+01,-2.361121098236961258e-01,7.216861859012262403e-01
2.015599662606965921e+03,2.161571025848388672e+00,3.093883031864747579e+01,-2.361121098236961258e-01,7.216861859012262403e-01
2.015599662606965921e+03,2.161571025848388672e+00,3.113321365206910230e+01,-2.361121098236961258e-01,7.216861859012262403e-01
2.015599662606965921e+03,2.161571025848388672e+00,3.132089212119605293e+01,-2.361121098236961258e-01,7.216861859012262403e-01
2.015599662606965921e+03,2.161571025848388672e+00,3.127073971306786859e+01,-2.361121098236961258e-01,7.216861859012262403e-01
2.015599662606965921e+03,2.161571025848388672e+00,3.088645050446739049e+01,-2.361121098236961258e-01,7.216861859012262403e-01
2.015599662606965921e+03,2.161571025848388672e+00,3.076911950008675944e+01,-2.361121098236961258e-01,7.216861859012262403e-01
2.015599662606965921e+03,2.161571025848388672e+00,3.129093107790197337e+01,-2.361121098236961258e-01,7.216861859012262403e-01
2.015868998350222455e+03,-9.272479414939880371e-01,-3.456053138501881961e+01,6.388489299779942510e-01,7.094393551882403059e-01
2.015868998350222455e+03,-9.272479414939880371e-01,-3.430041164851112967e+01,6.388489299779942510e-01,7.094393551882403059e-01
2.015868998350222455e+03,-9.272479414939880371e-01,-3.419862517792783763e+01,6.388489299779942510e-01,7.094393551882403059e-01
2.015868998350222455e+03,-9.272479414939880371e-01,-3.447411986952457141e+01,6.388489299779942510e-01,7.094393551882403059e-01
2.015868998350222455e+03,-9.272479414939880371e-01,-3.409629541348962789e+01,6.388489299779942510e-01,7.094393551882403059e-01
2.015868998350222455e+03,-9.272479414939880371e-01,-3.428584833356664774e+01,6.388489299779942510e-01,7.094393551882403059e-01
2.015868998350222455e+03,-9.272479414939880371e-01,-3.441764088281065881e+01,6.388489299779942510e-01,7.094393551882403059e-01
2.015868998350222455e+03,-9.272479414939880371e-01,-3.435178082511201580e+01,6.388489299779942510e-01,7.094393551882403059e-01
2.015868998350222455e+03,-9.272479414939880371e-01,-3.454974893755739629e+01,6.388489299779942510e-01,7.094393551882403059e-01
2.015936734727629073e+03,3.057602643966674805e-01,-2.702059857463862045e+02,-7.033143854502582615e-01,7.070465871517075396e-01
2.015936734727629073e+03,3.057602643966674805e-01,-2.695955323068925509e+02,-7.033143854502582615e-01,7.070465871517075396e-01
2.015936734727629073e+03,3.057602643966674805e-01,-2.702685016974155019e+02,-7.033143854502582615e-01,7.070465871517075396e-01
2.015936734727629073e+03,3.057602643966674805e-01,-2.700929805387550005e+02,-7.033143854502582615e-01,7.070465871517075396e-01
2.015936734727629073e+03,3.057602643966674805e-01,-2.700662589171559489e+02,-7.033143854502582615e-01,7.070465871517075396e-01
2.015936734727629073e+03,3.057602643966674805e-01,-2.699335574687133317e+02,-7.033143854502582615e-01,7.070465871517075396e-01
2.015936734727629073e+03,3.057602643966674805e-01,-2.702242063685034168e+02,-7.033143854502582615e-01,7.070465871517075396e-01
2.015936734727629073e+03,3.057602643966674805e-01,-2.698928335824366513e+02,-7.033143854502582615e-01,7.070465871517075396e-01
2.015936734727629073e+03,3.057602643966674805e-01,-2.705540603604192142e+02,-7.033143854502582615e-01,7.070465871517075396e-01
2.015936937331995296e+03,3.047161102294921875e-01,-2.697403214451632039e+02,-7.031315448701240811e-01,7.071756404969790077e-01
2.015936937331995296e+03,3.047161102294921875e-01,-2.699478514060407406e+02,-7.031315448701240811e-01,7.071756404969790077e-01
2.015936937331995296e+03,3.047161102294921875e-01,-2.697553969471179016e+02,-7.031315448701240811e-01,7.071756404969790077e-01
2.015936937331995296e+03,3.047161102294921875e-01,-2.697460839183362395e+02,-7.031315448701240811e-01,7.071756404969790077e-01
2.015936937331995296e+03,3.047161102294921875e-01,-2.700351154041433119e+02,-7.031315448701240811e-01,7.071756404969790077e-01
2.015936937331995296e+03,3.047161102294921875e-01,-2.695448506988240069e+02,-7.031315448701240811e-01,7.071756404969790077e-01
2.015936937331995296e+03,3.047161102294921875e-01,-2.696056176831153266e+02,-7.031315448701240811e-01,7.071756404969790077e-01
2.015936937331995296e+03,3.047161102294921875e-01,-2.703221667846540868e+02,-7.031315448701240811e-01,7.071756404969790077e-01
2.015936937331995296e+03,3.047161102294921875e-01,-2.697477552467370288e+02,-7.031315448701240811e-01,7.071756404969790077e-01
2.016014046154908556e+03,-1.508886218070983887e+00,1.107738519743729881e+02,5.872659491024294631e-01,7.015462573200617058e-01
2.016014046154908556e+03,-1.508886218070983887e+00,1.111749255520613104e+02,5.872659491024294631e-01,7.015462573200617058e-01
2.016014046154908556e+03,-1.508886218070983887e+00,1.109027333250640055e+02,5.872659491024294631e-01,7.015462573200617058e-01
2.016014046154908556e+03,-1.508886218070983887e+00,1.111166730739493005e+02,5.872659491024294631e-01,7.015462573200617058e-01
2.016014046154908556e+03,-1.508886218070983887e+00,1.110151523446484276e+02,5.872659491024294631e-01,7.015462573200617058e-01
2.016014046154908556e+03,-1.508886218070983887e+00,1.113056671303322958e+02,5.872659491024294631e-01,7.015462573200617058e-01
2.016014046154908556e+03,-1.508886218070983887e+00,1.112142526682211496e+02,5.872659491024294631e-01,7.015462573200617058e-01
2.016014046154908556e+03,-1.508886218070983887e+00,1.107663799589381739e+02,5.872659491024294631e-01,7.015462573200617058e-01
2.016014046154908556e+03,-1.508886218070983887e+00,1.107971694759155099e+02,5.872659491024294631e-01,7.015462573200617058e-01
2.016014248761725185e+03,-1.512312650680541992e+00,1.119349045142144803e+02,5.887413877309347621e-01,6.998196638504405875e-01
2.016014248761725185e+03,-1.512312650680541992e+00,1.117022779452399845e+02,5.887413877309347621e-01,6.998196638504405875e-01
2.016014248761725185e+03,-1.512312650680541992e+00,1.121431417029958624e+02,5.887413877309347621e-01,6.998196638504405875e-01
2.016014248761725185e+03,-1.512312650680541992e+00,1.118550866122134835e+02,5.887413877309347621e-01,6.998196638504405875e-01
2.016014248761725185e+03,-1.512312650680541992e+00,1.120043550244974426e+02,5.887413877309347621e-01,6.998196638504405875e-01
2.016014248761725185e+03,-1.512312650680541992e+00,1.123544498280875388e+02,5.887413877309347621e-01,6.998196638504405875e-01
2.016014248761725185e+03,-1.512312650680541992e+00,1.117028813871993549e+02,5.887413877309347621e-01,6.998196638504405875e-01
2.016014248761725185e+03,-1.512312650680541992e+00,1.121713309960531433e+02,5.887413877309347621e-01,6.998196638504405875e-01
2.016014248761725185e+03,-1.512312650680541992e+00,1.120238909959957567e+02,5.887413877309347621e-01,6.998196638504405875e-01
2.016335026904909910e+03,-2.540030479431152344e+00,2.184295780176520339e+02,-5.831992032689446992e-01,7.162814137878565912e-01
2.016335026904909910e+03,-2.540030479431152344e+00,2.187770167198490299e+02,-5.831992032689446992e-01,7.162814137878565912e-01
2.016335026904909910e+03,-2.540030479431152344e+00,2.187832560791978835e+02,-5.831992032689446992e-01,7.162814137878565912e-01
2.016335026904909910e+03,-2.540030479431152344e+00,2.186512273314589265e+02,-5.831992032689446992e-01,7.162814137878565912e-01
2.016335026904909910e+03,-2.540030479431152344e+00,2.186732110494456265e+02,-5.831992032689446992e-01,7.162814137878565912e-01
2.016335026904909910e+03,-2.540030479431152344e+00,2.186822701626877858e+02,-5.831992032689446992e-01,7.162814137878565912e-01
2.016335026904909910e+03,-2.540030479431152344e+00,2.189240437493847935e+02,-5.831992032689446992e-01,7.162814137878565912e-01
2.016335026904909910e+03,-2.540030479431152344e+00,2.190291488882977546e+02,-5.831992032689446992e-01,7.162814137878565912e-01
2.016335026904909910e+03,-2.540030479431152344e+00,2.189357739117713777e+02,-5.831992032689446992e-01,7.162814137878565912e-01
