gaia_source_id,mass_st,sma_1,ecc_1,mass_pl_1,inc_1,Omega_1,omega_1,M_anom_1,sma_2,ecc_2,mass_pl_2,inc_2,Omega_2,omega_2,M_anom_2,period_1,period_2,P_ratio,near_2_1,near_3_2,coplanar,near_resonance
5479559378348931200,0.4160697798482565,1.5736084020458254,0.9699494903623866,15.999336370418238,21.79760659534298,8.059606084413096,179.82339180409264,144.51339778890375,14.688521949152259,0.2516215196916408,13.27441312609667,17.12748699387016,62.85616805252025,94.87961722847683,2.9602704997982876,3.060285271407452,87.27383461542695,28.51820234892316,False,False,False,False
5481069145252396928,0.3644776846110203,1.5119361119886516,0.5136653010399603,47.994514933539214,102.25154478052431,245.50908398237837,116.91689912875935,157.8738409930739,10.01955817924574,0.33862715244183744,33.321478542978916,94.70422494113457,2.4105524901414377,67.70894112063775,298.2259513642763,3.079389952495276,52.53362689579376,17.059751348875114,False,False,False,False
5481478983915584256,0.560486469058959,1.132919113194328,0.004148076869442008,43.5000369851959,75.17887543604279,166.25137294272736,306.7727047011119,56.66689789351015,19.149378040957245,0.1479894018473987,11.58315598332809,75.17887543604279,166.25137294272736,271.7129051550355,227.93194061714988,1.6107041932530768,111.93075755935715,69.49181483987755,False,False,True,False
5481618557469377408,0.5264924173999096,6.578322077520284,0.15417301210703227,10.977691454657482,49.22123104064571,146.1339211744365,346.6987536309695,282.9856309666001,27.78119742133349,0.249135484357407,53.771257534495305,49.22123104064571,146.1339211744365,84.72801424625482,341.78775842418,23.252874035145545,201.80428364631578,8.678681325211619,False,False,True,False
5482185145257567232,0.5252949961331507,1.986483194185246,0.41473853201939376,57.133079168105475,53.88063990028959,322.37002588935076,161.02641970407856,355.09221173668334,16.71505644665382,0.14999189973646748,21.661088456160083,126.05856976147933,283.66041910958955,143.26327978166566,284.7226506929776,3.8630089198777626,94.28880669504075,24.408125544277627,False,False,False,False
5482595954586693376,0.410648262985872,3.0944867236229254,0.11814120588282809,5.642344654980676,5.440984643252154,141.53628997712815,53.72956847517169,201.10302734572193,4.892492932279995,0.013718893523119705,52.0947489790861,98.56029255433457,13.03874495965073,203.5218858344025,224.91722187321574,8.494697940554476,16.887303761621418,1.9879816657164304,True,False,False,True
5484066448309985152,0.2314703477775935,2.627151909184565,0.7415172972833133,58.07766407118011,92.0567040768887,278.868875379479,345.54359620434946,128.7779775008965,44.26945112188708,0.598737588642378,7.82996203612448,92.0567040768887,278.868875379479,91.44826766103715,126.45031728073815,8.850750460447799,612.2214251490774,69.17169655668977,False,False,True,False
5484571119849822464,0.5396114955747411,3.2632378575706786,0.46183506239158006,35.92913211829207,100.23348564742656,343.19435441778506,67.41335982414691,9.196731398632071,14.562841240946796,0.6253648004911914,18.606452670328288,75.52024652013324,114.9617782079941,194.3100722149211,214.80306414271507,8.024768257053992,75.65342181172612,9.427489914767904,False,False,False,False
5484571119849822464,0.5396114955747411,3.213104276795273,0.14520257195504632,6.442065865714419,80.8219581202851,144.38130988221585,122.58194695915819,268.52692166586223,33.38499899438196,0.5302803446991609,40.44702373367636,80.8219581202851,144.38130988221585,166.0667283100249,218.8876547190605,7.8405518967991,262.5950013016403,33.49190270761992,False,False,True,False
6710367263011848576,0.2798771122729656,3.7356108724894828,0.859415793320403,4.159229654952911,136.7696530934858,85.29998513687677,36.11353337833555,148.03094193661644,18.689796632305836,0.20042709163375153,35.50693658946696,136.7696530934858,85.29998513687677,104.57550323026494,287.9241746901713,13.647677581135895,152.7295849308941,11.190884604571853,False,False,True,False
